,company,degree,betweenness,closeness,eigenvector
111,list,0.008928571428571428,0.0,0.0,2.9252929522175045e-19
112,lynx analytics,0.026785714285714284,0.0,4.292879830549889,0.05447236240523235
113,magnetic,0.02232142857142857,0.0,5.664500809707194,0.0173116628444126
114,mapr,0.04464285714285714,0.005485265855221012,5.677797781167793,0.023370286199068797
115,maprtech,0.04464285714285714,0.002362267777065983,5.794423899595983,0.02201767910888384
116,mccann,0.017857142857142856,0.0,5.3958253640665825,0.008456320050759325
117,meituan,0.026785714285714284,0.0,5.24254552195086,0.01119511996941892
118,mellanox,0.04464285714285714,0.0314301729660474,6.514356945044414,0.06318882617752812
119,merck,0.017857142857142856,0.0,1.7355727521457647,0.04325239410072337
120,microsoft,0.26785714285714285,0.03566423766816143,6.391054020646609,0.13878760671305937
121,mirantis,0.03571428571428571,0.012262438607730084,6.657432424372463,0.026279874438253296
122,mmodal,0.017857142857142856,0.0,3.8379075481414273,0.023028283109615556
123,moz,0.017857142857142856,0.0,2.663147386855352,0.0038316677947107113
124,msn,0.013392857142857142,0.0,1.8317270634014124,0.011441035648924023
125,mxs,0.026785714285714284,0.0,6.005986268840396,0.007195024254505221
126,natero,0.040178571428571425,0.0,5.586062551738654,0.019794383517223034
127,nec,0.026785714285714284,0.0,3.1398796626647747,0.046121721289305063
128,netapp,0.06696428571428571,0.020259449071108264,5.9751496601068865,0.046760174615183434
129,netflix,0.08482142857142856,0.01977898782831518,5.9149965984005455,0.07130068643497611
130,nokia,0.008928571428571428,0.0,0.0,2.9252929522175045e-19
131,nsa,0.03571428571428571,0.0,3.1425519675407,0.08969196047581302
132,ntt data,0.3526785714285714,0.14543962203715566,6.701950195191465,0.18403098549403255
133,objective solutions,0.040178571428571425,0.0,5.534351176362333,0.02959385840643708
134,openweb analysts,0.017857142857142856,0.0,5.135672909564545,0.00882320316817699
135,optimizely,0.017857142857142856,0.0,3.180775914792297,0.015786982160052167
136,oracle,0.05803571428571428,0.0,4.158066856790307,0.07919016813347718
137,orange,0.04464285714285714,0.010205797565663036,6.436701166219786,0.005698573370147655
138,palantir,0.03125,0.0,2.868415942385838,0.03172273522075246
139,palntir,0.026785714285714284,0.0,4.010439393386496,0.026381878714423105
140,pandora,0.008928571428571428,0.0,0.0,3.487220945617562e-26
141,pinterest,0.03125,0.0,5.50157759413164,0.03531925270987814
142,pivotal,0.14285714285714285,0.001881806534272902,5.731682055522698,0.07954090040504887
143,podiumdata,0.03571428571428571,0.0,4.894499076445892,0.05159491543258248
144,publix,0.026785714285714284,0.0,4.940653728618213,0.02345979951224609
145,qualcomm,0.013392857142857142,0.0,2.4716474026305493,0.017431505879637675
146,quantcast,0.008928571428571428,0.0,0.0,1.726788173765844e-21
147,qubit,0.05803571428571428,0.03335201793721973,6.203203697647364,0.03652334170895545
148,qubole,0.040178571428571425,0.0,4.577913669515981,0.041272540248167434
149,quora,0.05357142857142857,0.0029228058936579112,5.736494680241482,0.04777553991941255
150,rackspace,0.049107142857142856,0.012262438607730084,6.657432424372463,0.024733438973539003
151,rambler,0.017857142857142856,0.0,3.1429682525859284,0.021816452690505278
152,ravel,0.049107142857142856,0.0,5.992223490903677,0.1103783734061319
153,raytheon,0.017857142857142856,0.0,4.139334340592919,0.012495615417966252
154,redhat,0.14285714285714285,0.13882660687593412,6.7630577744297,0.07480044031337216
155,reidin,0.017857142857142856,0.0,4.433958286790632,0.008783110211520409
156,reply,0.04464285714285714,0.003524717061712576,6.311688101115706,0.005796575075495123
157,reserve bank,0.017857142857142856,0.0,1.7257471326169336,0.05860414319749751
158,ripe ncc,0.02232142857142857,0.0,4.584934673804173,0.054014652362691894
159,riverbed technology,0.026785714285714284,0.0,4.224555776150907,0.04010168242689358
160,rocketfuel,0.026785714285714284,0.0,5.240924471091132,0.015933585822576216
161,salesforce,0.08482142857142856,0.010510089686098654,5.942017548666996,0.07007229537378626
162,samsung,0.03571428571428571,0.0,5.2480044812256725,0.020736759170646952
163,sas,0.02232142857142857,0.0,2.772415036538724,0.03848914042043407
164,sautins,0.017857142857142856,0.0,1.1950481739808891,0.0992247533228614
165,sbcglobal,0.026785714285714284,0.0,4.843925311580507,0.031210915953067596
166,scale unlimited,0.05357142857142857,0.007126841768097373,5.899893125296743,0.05181504499894351
