,organization,organizationId,issueId,totNbrOfComments,nbrOfComments
248,alibaba,121.0,12561.0,17.0,1.0
249,alibaba,121.0,12571.0,11.0,1.0
250,alibaba,121.0,12735.0,10.0,7.0
251,alibaba,121.0,12747.0,16.0,1.0
252,alibaba,121.0,13715.0,4.0,1.0
253,alibaba,121.0,13743.0,5.0,2.0
254,alibaba,121.0,14015.0,1.0,1.0
255,alibaba,121.0,14498.0,9.0,2.0
256,alibaba,121.0,14978.0,3.0,1.0
257,alibaba,121.0,15438.0,17.0,1.0
258,alibaba,121.0,15571.0,5.0,2.0
259,alibaba,121.0,15579.0,22.0,3.0
260,alibaba,121.0,15622.0,13.0,3.0
261,alibaba,121.0,15630.0,3.0,2.0
262,alibaba,121.0,15636.0,5.0,2.0
263,alibaba,121.0,15637.0,3.0,2.0
264,alibaba,121.0,15720.0,11.0,2.0
265,alibaba,121.0,15741.0,4.0,1.0
266,alibaba,121.0,17855.0,23.0,2.0
267,alibaba,121.0,17873.0,22.0,7.0
268,alibaba,121.0,19253.0,160.0,3.0
269,alibaba,121.0,19862.0,12.0,1.0
270,alibaba,121.0,20011.0,13.0,2.0
271,alibaba,121.0,20023.0,5.0,1.0
272,alibaba,121.0,20037.0,4.0,1.0
273,alibaba,121.0,20155.0,3.0,1.0
274,alibaba,121.0,20159.0,16.0,4.0
275,alibaba,121.0,21444.0,6.0,3.0
276,alibaba,121.0,21538.0,7.0,1.0
277,alibaba,121.0,21603.0,1.0,1.0
278,alibaba,121.0,22044.0,6.0,1.0
279,alibaba,121.0,22049.0,10.0,4.0
280,alibaba,121.0,22120.0,14.0,6.0
281,alibaba,121.0,22138.0,11.0,2.0
282,alibaba,121.0,22993.0,6.0,3.0
283,alibaba,121.0,25738.0,7.0,1.0
284,alibaba,121.0,25775.0,2.0,1.0
285,alibaba,121.0,25835.0,18.0,3.0
286,alibaba,121.0,26057.0,8.0,1.0
287,alibaba,121.0,26077.0,3.0,2.0
288,alibaba,121.0,26086.0,5.0,1.0
289,alibaba,121.0,26109.0,9.0,1.0
290,alibaba,121.0,26146.0,3.0,2.0
291,alibaba,121.0,26195.0,4.0,1.0
292,alibaba,121.0,26229.0,16.0,3.0
293,alibaba,121.0,26249.0,12.0,1.0
294,alibaba,121.0,26250.0,17.0,1.0
295,alibaba,121.0,26253.0,3.0,2.0
296,alibaba,121.0,26263.0,13.0,4.0
297,alibaba,121.0,26267.0,3.0,1.0
298,alibaba,121.0,26273.0,2.0,1.0
299,alibaba,121.0,26531.0,11.0,4.0
300,alibaba,121.0,26658.0,103.0,3.0
301,alibaba,121.0,26817.0,23.0,4.0
302,alibaba,121.0,27326.0,25.0,1.0
